{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:29:48 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'159', 'message':'local variable 'command' referenced before assignment' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:30:17 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'159', 'message':'global name 'smart' is not defined' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:33:06 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'global name 'smart' is not defined' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:35:46 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'global name 'smart' is not defined' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:36:50 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'global name 'copy' is not defined' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:37:54 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:42:08 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:44:48 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'' }
{ 'log_level':'CRITICAL ', 'time_stamp':'12/23/2015 10:45:27 PM CST', 'logger_name':'__main__    ', 'path_to_file':'smart.py', 'function_name':'process_arguments', 'line_number':'152', 'message':'' }
{ 'log_level':'ERROR    ', 'time_stamp':'12/23/2015 11:50:08 PM EST', 'logger_name':'__main__    ', 'path_to_file':'./smart/core/storage/access/restful_api_service.py', 'function_name':'insert_sensor_data_item', 'line_number':'48', 'message':'database names cannot contain the character ' '' }
